Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,3.014,2.884,4.149,4.61,96.25,B19prime,0.934259685,,0.973386209,0.973386209,1.101128689,1.001361467,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2022.167907,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.018,2.91,4.123,4.654,97.8,B19prime,0.930894668,,0.966004393,0.966004393,1.118995889,1.006255194,,,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2004.06.007,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,,,,,,B19prime,,0.966,,0.966,,,,,,,,,,,,,,,,,https://doi.org/10.1007/3-540-31631-0_9,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.016,2.909,4.114,4.657,97.9,B19prime,0.930618676,,0.964534913,0.964534913,1.120880083,1.006117883,,,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2004.06.007,,,100
0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,0,49.3,0,0,0,Ni50.7Ti49.3,Ni507Ti493,NiTi,0.69681079,7.23964176,10.521,2.0246031,53.3559848,8.58665,8.5,FALSE,3.011,2.882,4.128,4.623,96.7,B19prime,0.932055097,,0.969424375,0.969424375,1.107295798,1.000504792,,,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2004.06.007,,,100
0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,0,49.3,0,0,0,Ni50.7Ti49.3,Ni507Ti493,NiTi,0.69681079,7.23964176,10.521,2.0246031,53.3559848,8.58665,8.5,FALSE,3.012,2.882,4.143,4.614,96.35,B19prime,0.933777001,,0.972623969,0.972623969,1.103140368,1.001887407,,,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2004.06.007,,,100
0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,0,49.3,0,0,0,Ni50.7Ti49.3,Ni507Ti493,NiTi,0.69681079,7.23964176,10.521,2.0246031,53.3559848,8.58665,8.5,FALSE,3.014,2.893,4.633,4.134,96.96,B19prime,0.932737403,,0.969867098,0.969867098,1.110293194,1.004405996,,,,,,,,,,,,,,,https://doi.org/10.1016/j.msea.2003.11.062,,,100
0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,0,49.3,0,0,0,Ni50.7Ti49.3,Ni507Ti493,NiTi,0.69681079,7.23964176,10.521,2.0246031,53.3559848,8.58665,8.5,FALSE,3.007,2.879,4.622,4.134,96.649,B19prime,0.932757889,,0.972124853,0.972124853,1.108128017,1.004802976,,,,,,,,,,,,,,,https://doi.org/10.1016/j.msea.2003.11.062,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.015,2.889,4.12,4.622,96.8,B19prime,0.932082733,0.966,0.966262003,0.966262003,1.106541107,0.996590899,29,29,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2016.08.065,https://doi.org/10.1016/j.pmatsci.2004.10.001,https://doi.org/10.1016/j.actamat.2012.01.025,100
